name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"59,047,093,174","59,203,074,973","40,951,082,241","60,350,374,550","44,598,279,820","35,815,723,014","21,455,629,069","39,697,002,443","32,682,777,825","28,813,826,890","19,233,814,600","11,371,380,035","6,554,376,062","3,796,632,907","5,248,228,895"
EnterpriseValue,"66,209,093,174","66,558,074,973","48,354,082,241","67,640,374,550","50,388,279,820","40,783,723,014","25,867,629,069","43,188,002,443","40,495,777,825","31,371,826,890","22,447,814,600","14,127,380,035","9,429,376,062","6,752,632,907","8,901,228,895"
PeRatio,"21.704","21.306","15.771","40.173",,"85.986","9.323","20.328","34.031","29.152","39.381","88.327",,"56.926",
ForwardPeRatio,"14.859","15.552","11.933","18.975","19.531","15.504","8.518","16.393","14.225","15.65","13.774","15.674","17.575","9.311","9.615"
PegRatio,"1.117","2.158","1.243","1.168","1.763","5.083","0.852","0.82","0.711","0.782","0.689","0.689","0.772","0.316",
PsRatio,"4.601","4.565","3.249","6.112","5.319","4.084","2.647","4.457","3.651","3.391","3.55","2.479","1.498","0.897","1.09"
PbRatio,"6.548","6.959","5.77","8.957","5.025","3.814","2.018","3.133","3.116","32.412","32.822","9.46","6.248","2.851","5.323"
EnterprisesValueRevenueRatio,"5.051","5.055","3.739","6.423","5.994","4.542","2.734","4.674","4.674","5.201","4.155","3.046","2.164","1.556","2.022"
EnterprisesValueEBITDARatio,"13.901","13.376","9.984","19.612","21.488","15.038","5.557","10.332","16.529","22.505","19.52","16.276","12.12","6.062","13.715"
