name,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
TotalAssets,"9,178,813,000","9,636,018,000","9,256,026,000","5,969,173,000","2,404,015,000","1,526,298,000","1,029,283,000"
	CurrentAssets,"6,314,817,000","6,673,164,000","6,279,390,000","3,606,037,000","2,379,449,000","1,513,100,000","1,018,709,000"
		CashCashEquivalentsAndShortTermInvestments,"1,587,476,000","2,660,261,000","2,705,035,000","1,164,929,000","697,617,000","162,275,000","92,268,000"
			CashAndCashEquivalents,"985,941,000","1,617,151,000","1,596,542,000","509,615,000","573,643,000","90,306,000","22,401,000"
			OtherShortTermInvestments,"601,535,000","1,043,110,000","1,108,493,000","655,314,000","123,974,000","71,969,000","69,867,000"
		Receivables,"725,265,000","486,883,000","280,437,000","165,315,000","10,801,000","9,193,000","5,347,000"
			AccountsReceivable,"28,049,000","28,233,000","24,045,000","18,222,000","4,252,000","4,398,000","2,300,000"
			OtherReceivables,"697,216,000","458,650,000","256,392,000","147,093,000","6,549,000","4,795,000","3,047,000"
		PrepaidAssets,,"170,111,000","151,258,000","67,195,000","26,781,000","12,326,000","6,081,000"
		RestrictedCash,"3,704,907,000","3,355,909,000","3,142,660,000","2,208,598,000","1,644,250,000","1,329,306,000","915,013,000"
		OtherCurrentAssets,"297,169,000","170,111,000","151,258,000","67,195,000","26,781,000","12,326,000","6,081,000"
	TotalNonCurrentAssets,"2,863,996,000","2,962,854,000","2,976,636,000","2,363,136,000","24,566,000","13,198,000","10,574,000"
		NetPPE,"147,448,000","150,552,000","133,430,000","120,827,000","13,866,000","6,557,000","5,948,000"
			GrossPPE,"214,262,000","195,575,000","163,717,000","139,759,000","27,661,000","18,022,000","14,423,000"
				Properties,"0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"115,745,000","87,519,000","52,167,000","33,228,000","18,404,000","15,587,000","12,412,000"
				OtherProperties,"59,414,000","68,988,000","76,445,000","71,925,000",,,
				Leases,"39,103,000","39,068,000","35,105,000","34,606,000","9,257,000","2,435,000","2,011,000"
			AccumulatedDepreciation,"-66,814,000","-45,023,000","-30,287,000","-18,932,000","-13,795,000","-11,465,000","-8,475,000"
		GoodwillAndOtherIntangibleAssets,"2,677,980,000","2,757,936,000","2,795,476,000","2,189,384,000","0",,
			Goodwill,"2,396,509,000","2,396,509,000","2,362,893,000","1,772,043,000","0",,
			OtherIntangibleAssets,"281,471,000","361,427,000","432,583,000","417,341,000",,,
		OtherNonCurrentAssets,"38,568,000","54,366,000","47,730,000","52,925,000","10,700,000","6,641,000","4,626,000"
TotalLiabilitiesNetMinorityInterest,"5,044,612,000","5,550,049,000","5,212,332,000","3,439,583,000","1,693,296,000","1,628,955,000","1,131,187,000"
	CurrentLiabilities,"4,063,024,000","3,753,436,000","3,408,657,000","2,325,659,000","1,676,847,000","1,349,415,000","930,578,000"
		PayablesAndAccruedExpenses,"306,953,000","203,252,000","130,028,000","83,926,000","14,319,000","8,587,000","3,046,000"
			Payables,"7,447,000","8,519,000","9,948,000","11,904,000","3,478,000","8,456,000","2,961,000"
				AccountsPayable,"7,447,000","8,519,000","9,948,000","11,904,000","3,478,000","5,575,000","2,026,000"
				TotalTaxPayable,,,,,"2,976,000","2,881,000","935,000"
				OtherPayable,,,,,,"512,000","494,000"
			CurrentAccruedExpenses,"299,506,000","194,733,000","120,080,000","72,022,000","10,841,000","131,000","85,000"
		CurrentProvisions,,,,,"260,000","147,000","91,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"34,158,000","32,901,000","29,004,000","20,287,000","12,387,000","4,333,000","3,425,000"
		CurrentDebtAndCapitalLeaseObligation,,"135,046,000","75,097,000",,"2,300,000","494,000","3,667,000"
			CurrentDebt,,"135,046,000","75,097,000",,"2,300,000",,"3,667,000"
