name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalAssets,"2,983,500,000","3,110,100,000","3,091,300,000","2,387,200,000","2,699,200,000","1,694,100,000","1,019,900,000","1,004,200,000"
	CurrentAssets,"1,516,600,000","1,489,800,000","1,849,800,000","1,227,500,000","1,243,200,000","1,210,200,000","518,100,000","413,400,000"
		CashCashEquivalentsAndShortTermInvestments,"1,356,000,000","1,343,400,000","1,718,100,000","1,121,300,000","1,159,000,000","1,089,300,000","430,000,000","352,700,000"
			CashAndCashEquivalents,"614,900,000","232,800,000","533,000,000","314,900,000","551,300,000","519,300,000","430,000,000","352,700,000"
				CashFinancial,"81,300,000","90,100,000","142,700,000","67,200,000","105,000,000","103,000,000","62,900,000","93,700,000"
				CashEquivalents,"533,600,000","142,700,000","390,300,000","247,700,000","446,300,000","416,300,000","367,100,000","259,000,000"
			OtherShortTermInvestments,"741,100,000","1,110,600,000","1,185,100,000","806,400,000","607,700,000","570,000,000","0",
		Receivables,"68,700,000","53,800,000","49,600,000","43,400,000","36,700,000","28,600,000","29,300,000","13,200,000"
			AccountsReceivable,"68,700,000","53,800,000","49,600,000","43,400,000","36,700,000","28,600,000","29,300,000","13,100,000"
				GrossAccountsReceivable,"69,800,000","54,500,000","50,600,000","43,900,000","37,200,000","29,800,000","30,300,000","13,100,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,100,000","-700,000","-1,000,000","-500,000","-500,000","-1,200,000","-1,000,000","0"
			OtherReceivables,,,,,,,"600,000","100,000"
		PrepaidAssets,,,"82,100,000","62,800,000","47,500,000","92,300,000","58,800,000","47,500,000"
		OtherCurrentAssets,"91,900,000","92,600,000","82,100,000","62,800,000","47,500,000","92,300,000","58,800,000","47,500,000"
	TotalNonCurrentAssets,"1,466,900,000","1,620,300,000","1,241,500,000","1,159,700,000","1,456,000,000","483,900,000","501,800,000","590,800,000"
		NetPPE,"493,000,000","569,000,000","735,900,000","809,200,000","1,103,200,000","310,600,000","341,900,000","444,000,000"
			GrossPPE,"1,079,300,000","1,072,500,000","1,188,500,000","1,261,000,000","1,690,400,000","874,500,000","846,700,000","780,600,000"
				Properties,"0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,,,,,,"0","36,600,000","36,600,000"
