name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001
	NetIncome,"5,632,000,000","4,136,000,000","208,000,000","1,444,000,000","4,072,000,000","126,000,000","1,110,000,000","360,000,000","323,000,000","-47,426,000","-262,688,000","-232,175,000","-270,445,000","-11,572,000","64,474,000","80,719,000","43,428,000","18,356,000","481,000","28,474,000","7,346,000","3,514,000","-9,716,000","-28,609,000","-31,671,000"
		NetIncomeIncludingNoncontrollingInterests,"5,632,000,000","4,136,000,000","208,000,000","1,444,000,000","4,072,000,000","126,000,000","1,110,000,000","360,000,000","323,000,000","-47,426,000","-262,688,000","-232,175,000","-270,445,000","-11,572,000","69,697,000","84,692,000","48,035,000","22,828,000","2,701,000","29,508,000","7,936,000","3,698,000","-10,008,000","-29,034,000","-31,864,000"
			NetIncomeContinuousOperations,"5,632,000,000","4,136,000,000","208,000,000","1,444,000,000","4,072,000,000","126,000,000","1,110,000,000","360,000,000","323,000,000","-47,426,000","-262,688,000","-232,175,000","-270,445,000","-11,572,000","69,697,000","84,692,000","48,035,000","18,356,000","481,000","28,474,000","7,346,000","3,514,000","-9,716,000","-29,034,000","-31,864,000"
		MinorityInterests,,,,,,,,,,,,,"0","0","-5,223,000","-3,973,000","-4,607,000","-4,472,000","-2,220,000","-1,034,000","-590,000","-184,000","292,000","425,000","193,000"
DilutedNIAvailtoComStockholders,"5,632,000,000","4,136,000,000","208,000,000","1,444,000,000","4,072,000,000","126,000,000","1,110,000,000","360,000,000","323,000,000","-47,426,000","-262,688,000","-232,175,000","-270,445,000","-11,572,000","64,474,000","80,719,000","43,428,000","18,356,000","481,000","28,474,000","7,346,000","3,514,000","-9,716,000","-28,609,000","-31,671,000"
BasicEPS,"5.81","4.25","0.21","1.51","4.48","0.15","1.48","0.18","0.26","-0.07","-0.42","-0.39","-0.48","-0.023","0.125","0.163","0.09","0.04","0","0.068","0.025","0.03","-0.093","-0.34","-0.595"
DilutedEPS,"5.74","4.2","0.21","1.48","4.38","0.15","1.43","0.17","0.26","-0.07","-0.42","-0.39","-0.48","-0.023","0.118","0.158","0.088","0.038","0","0.06","0.018","0.01","-0.093","-0.34","-0.595"
BasicAverageShares,"969,000,000","974,000,000","992,000,000","955,000,000","908,000,000","829,000,000","751,000,000","714,919,000","687,797,000","661,647,000","624,148,000","597,613,000","564,896,000","541,208,000","520,888,000","497,848,000","484,732,000","467,360,000","449,544,000","429,096,000","302,012,000","118,420,000","105,500,000","84,156,000","53,256,000"
DilutedAverageShares,"980,000,000","984,000,000","997,000,000","974,000,000","930,000,000","850,000,000","775,000,000","734,598,000","700,217,000","661,647,000","624,148,000","597,613,000","564,896,000","541,208,000","548,714,894","512,456,000","500,912,000","489,688,000","480,616,000","474,948,000","443,496,000","381,636,000","105,500,000","84,156,000","53,256,000"
TotalOperatingIncomeAsReported,"6,615,000,000","5,011,000,000","1,030,000,000","548,000,000","455,000,000","297,000,000","535,000,000","454,000,000","218,000,000","114,923,000","-145,633,000","-286,074,000","-110,710,000","-35,085,000","97,497,000","115,272,000","63,742,000","20,309,000","-3,598,000","20,102,000","6,520,000","3,718,000","-10,500,000","-29,525,000","-33,600,000"
RentExpenseSupplemental,,,,,,,,"0","0","-36,617,000","0","0",,,,,,,,,,,,,
TotalExpenses,"29,515,000,000","28,858,000,000","29,494,000,000","25,944,000,000","20,797,000,000","16,635,000,000","12,747,000,000","10,086,000,000","8,219,000,000","6,552,293,000","5,519,219,000","4,357,077,000","3,160,905,000","2,301,624,000","1,559,642,000","1,190,311,000","1,013,027,000","728,391,000","500,696,000","289,755,000","169,855,000","92,305,000","61,491,000","51,934,000","39,035,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,632,000,000","4,136,000,000","208,000,000","1,444,000,000","4,072,000,000","126,000,000","1,110,000,000","360,000,000","323,000,000","-47,426,000","-262,688,000","-232,175,000","-270,445,000","-11,572,000","64,474,000","80,719,000","43,428,000","18,356,000","481,000","28,474,000","7,346,000","3,514,000","-9,716,000","-28,609,000","-31,671,000"
NormalizedIncome,"5,996,152,135.752","5,198,600,000","1,050,930,000","302,561,357.702","2,487,900,000","-64,530,000","714,340,000","343,714,285.714","301,400,000","-61,218,200","-272,008,400","-232,633,900","-271,523,350","-13,182,050","58,134,460","74,746,150","29,155,950","17,438,850","-370,500","28,039,600","7,335,595.542","365,596.603","-9,814,000","-28,609,000","-31,671,000"
