name,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,09/30/1993
				LineOfCredit,,"0","499,000,000","0","1,338,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"499,000,000",,,,"1,338,000,000","50,000,000","50,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"71,000,000","89,000,000","84,000,000","66,000,000","46,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"5,000,000,000","1,512,000,000","1,386,000,000","1,294,000,000","1,230,000,000","1,169,000,000","1,051,000,000","1,348,000,000","1,180,000,000","1,099,000,000","852,000,000","802,000,000","793,000,000","877,000,000","394,000,000","367,000,000","359,936,000","313,753,000","293,113,000","279,382,000","207,196,000","178,840,000","147,120,000","137,041,000",,,,,,,,
			CurrentDeferredRevenue,"4,793,000,000","1,341,000,000","1,239,000,000","1,141,000,000","1,107,000,000","1,055,000,000","948,000,000","1,259,000,000","1,105,000,000","1,028,000,000","784,000,000","730,000,000","729,000,000","820,000,000","387,000,000","360,000,000","359,936,000","313,753,000","293,113,000","279,382,000","207,196,000","178,840,000","147,120,000","137,041,000",,,,,,,,
		OtherCurrentLiabilities,"100,000,000","99,000,000","128,000,000","83,000,000","84,000,000","46,000,000","49,000,000","44,000,000","39,000,000","128,000,000","106,000,000","68,000,000","63,000,000","22,000,000","390,000,000","375,000,000","687,243,000","534,271,000","480,150,000","513,387,000","484,425,000","560,539,000","389,864,000","385,765,000","725,112,000","782,900,000","330,700,000","175,900,000","76,700,000","78,400,000","37,900,000","12,500,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"6,205,000,000","6,721,000,000","7,663,000,000","2,992,000,000","2,296,000,000","568,000,000","575,000,000","770,000,000","838,000,000","892,000,000","702,000,000","675,000,000","675,000,000","689,000,000","1,156,000,000","1,185,000,000","1,119,485,000","1,055,575,000","15,399,000","17,548,000","16,394,000","29,265,000","14,610,000","12,150,000","538,000","48,300,000","35,500,000","37,000,000","8,100,000","4,900,000","8,000,000","100,000"
		LongTermDebtAndCapitalLeaseObligation,"5,997,000,000","6,600,000,000","6,957,000,000","2,414,000,000","2,252,000,000","386,000,000","388,000,000","438,000,000","488,000,000","500,000,000","499,000,000","499,000,000","499,000,000","499,000,000","998,000,000","998,000,000","997,996,000","997,819,000","15,399,000","17,548,000","16,394,000","29,265,000","14,610,000","12,150,000","538,000","36,600,000","35,600,000","36,400,000","5,600,000","4,400,000",,
			LongTermDebt,"5,539,000,000","6,120,000,000","6,415,000,000","2,034,000,000","2,031,000,000","386,000,000","388,000,000","438,000,000","488,000,000","500,000,000","499,000,000","499,000,000","499,000,000","499,000,000","998,000,000","998,000,000","997,996,000","997,819,000","15,399,000","17,548,000","10,623,000","29,265,000","14,610,000","12,150,000","538,000","36,600,000","35,600,000","36,400,000","5,600,000","4,400,000",,
			LongTermCapitalLeaseObligation,"458,000,000","480,000,000","542,000,000","380,000,000","221,000,000","0",,,,,,,,,,,,,,"3,718,000","5,771,000",,,,,,,,,,,
