name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013
TotalAssets,"4,587,731,000","4,265,949,000","2,900,953,000","2,437,109,000","1,494,624,000","964,472,000","641,305,000","397,438,000","305,658,000","74,998,000","49,086,000"
	CurrentAssets,"3,304,306,000","2,899,658,000","1,711,291,000","1,719,341,000","932,763,000","677,309,000","476,686,000","309,750,000","290,412,000","69,273,000","44,173,000"
		CashCashEquivalentsAndShortTermInvestments,"860,038,000","1,024,229,000","697,817,000","1,030,929,000","320,756,000","316,314,000","240,427,000","133,195,000","144,750,000","9,754,000","13,142,000"
			CashAndCashEquivalents,"338,468,000","783,112,000","530,089,000","827,146,000","223,901,000","187,764,000","163,163,000","74,032,000","144,750,000","9,754,000","13,142,000"
				CashFinancial,"309,521,000","695,004,000","508,389,000",,,,,,,,
				CashEquivalents,"28,947,000","88,108,000","21,700,000",,,,,,,,
			OtherShortTermInvestments,"521,570,000","241,117,000","167,728,000","203,783,000","96,855,000","128,550,000","77,264,000","59,163,000","0",,
		Receivables,"788,349,000","1,058,978,000","527,380,000","275,323,000","382,300,000","201,863,000","143,247,000","88,112,000","60,491,000","29,501,000","13,376,000"
			AccountsReceivable,"622,425,000","905,146,000","456,339,000","218,706,000","298,383,000","173,579,000","109,528,000","72,737,000","35,428,000","19,267,000","9,257,000"
				GrossAccountsReceivable,"638,825,000","908,348,000","458,965,000","221,592,000","300,856,000","174,006,000",,,,,
				AllowanceForDoubtfulAccountsReceivable,"-16,400,000","-3,202,000","-2,626,000","-2,886,000","-2,473,000","-427,000",,,,,
			LoansReceivable,"55,418,000","0",,,,,,,,,
			AccruedInterestReceivable,"7,515,000","6,235,000",,,,,,,,,
			OtherReceivables,"102,991,000","147,597,000","71,041,000","56,617,000","83,917,000","28,284,000","33,719,000","15,375,000","25,063,000","10,234,000","4,119,000"
		Inventory,"1,443,449,000","729,201,000","380,143,000","331,696,000","170,798,000","141,519,000","82,992,000","81,550,000","73,950,000","25,499,000","14,785,000"
